,Tweets,id,len,date,source,likes,retweets
0,A very important update for @TheCrownNetflix season 4. https://t.co/QplFX48Ckf,1203732285759066117,78,2019-12-08 17:45:15,SocialFlow,61,8
1,The GQ Men of the Year Awards turned out to be an exhibition of creative suiting for nearly every attendee. https://t.co/AyXyJ9HyKk,1203727152811778048,131,2019-12-08 17:24:52,SocialFlow,22,4
2,Hailey Bieber has a knack for making the buttoned-up two piece feel less corporate. https://t.co/4LyCIHN2zP,1203721945579184128,107,2019-12-08 17:04:10,SocialFlow,55,2
3,"“Van Cleef &amp; Arpels: Time, Nature, Love” is staged at the Palazzo Reale, a former royal palace. https://t.co/mWWAenNPh4",1203716816276742144,123,2019-12-08 16:43:47,SocialFlow,70,14
4,"Solange showed off her teased-out mane, Kelsey Lu revealed a bold new look, and Lady Gaga put her high-shine lip gl… https://t.co/bDGgwpzgzd",1203711360095465473,140,2019-12-08 16:22:06,SocialFlow,47,5
5,The perfect red lipstick! The legendary skin elixir! The world’s most famous hair brush! https://t.co/7yAOCmNKZP,1203706019874050048,112,2019-12-08 16:00:53,SocialFlow,70,12
6,Katie Holmes showed how to dress up the humble winter boot for city streets. https://t.co/STH9W4CtIx,1203700801182601216,100,2019-12-08 15:40:09,SocialFlow,63,11
7,"Los Angeles—it's a city of dreams, even for known sociopaths. https://t.co/hcUl3qyZk7",1203695513452847104,85,2019-12-08 15:19:08,SocialFlow,110,17
8,"""Every time a twenty-something I know returns from a holiday with a certain glow and that definitive diamond on her… https://t.co/0q8K95Rofx",1203690260737265665,140,2019-12-08 14:58:16,SocialFlow,52,13
9,"FLWRDWN's capsule of puffers is filled with natural wildflowers, a rare sustainable solution that’s neither cruel t… https://t.co/Y02LxOYTR6",1203685196534550529,140,2019-12-08 14:38:08,SocialFlow,184,52
10,"Go inside the star-studded 2019 British Fashion Awards, hosted by Tracee Ellis Ross. https://t.co/JQlLniSAbw",1203679961116237824,108,2019-12-08 14:17:20,SocialFlow,72,11
11,The 15th annual UNICEF Snowflake Ball gathered hundreds of luminaries and philanthropists to raise $4.95 million. https://t.co/QPhwh2tN9q,1203674578922414081,137,2019-12-08 13:55:57,SocialFlow,75,15
12,"This holiday, there are a number of new books that make perfect gifts for those looking to spruce up their space an… https://t.co/uGo6vJUOGw",1203669261174136832,140,2019-12-08 13:34:49,SocialFlow,81,20
13,"Exclusively for the #VogueShop, @publicschoolnyc’s designers have created four limited-edition shirts with a messag… https://t.co/ebD5CgpTZD",1203664016469626881,140,2019-12-08 13:13:59,SocialFlow,28,4
14,Is picking out presents for the fashion-inclined in your life proving to be a challenge? Don't fret–the #VogueShop… https://t.co/a2BcrTAleq,1203658665770864641,139,2019-12-08 12:52:43,SocialFlow,37,8
15,There’s a secret nobody tells you about getting engaged: you’ll probably lose a friend (or two) before the cake is… https://t.co/rO55KcmbLv,1203653438216835072,139,2019-12-08 12:31:57,SocialFlow,163,31
16,".@TroyeSivan spends a rare day off with us answering #73Questions. 
https://t.co/GYWvPt4PFe",1203648109995270146,91,2019-12-08 12:10:46,SocialFlow,58,8
17,"Inside the world of @tylerthecreator, hip hop's most unlikely style icon. https://t.co/S5pjwRSk19",1203643058904084480,97,2019-12-08 11:50:42,SocialFlow,78,12
18,Step inside the #VogueShop. Get all the details on our brand-new line of merch here. https://t.co/NvShV7ONmX,1203637576395116545,108,2019-12-08 11:28:55,SocialFlow,19,0
19,"With a brand-new line of merchandise, #VogueShop has something for everyone on your holiday gift list.… https://t.co/2G2bYzUHwP",1203632123229483008,127,2019-12-08 11:07:15,SocialFlow,62,10
20,Kids these days want more than their two front teeth when it comes to holiday gifting. https://t.co/BHO7r6Zdgn,1203626921126445061,110,2019-12-08 10:46:34,SocialFlow,44,5
